method,evidence_boxes,exact_correct,box_exact_accuracy,filename_group_bootstrap_low,filename_group_bootstrap_high,image_macro_accuracy,filename_group_macro_accuracy,owner_link_precision,owner_link_recall,owner_link_f1,extra_owner_links,missed_owner_links,ambiguous_human_rows_excluded,interval_note
proposed_lexicographic,321,320,0.9968847352024922,0.9903225806451613,1,0.9980769230769231,0.9968652037617555,1.0,0.9968847352024922,0.9984399375975038,0,1,13,descriptive filename-group resampling interval; filename groups are not verified independent clusters
center_inside,321,317,0.9875389408099688,0.977491961414791,0.9969135802469136,0.99,0.9874966262113598,0.9937304075235109,0.9875389408099688,0.990625,2,4,13,descriptive filename-group resampling interval; filename groups are not verified independent clusters
hungarian_iou,321,319,0.9937694704049844,0.984472049689441,1,0.995,0.9934982003947521,0.996875,0.9937694704049844,0.9953198127925117,1,2,13,descriptive filename-group resampling interval; filename groups are not verified independent clusters
max_iou,321,318,0.9906542056074766,0.9811320754716981,1,0.9930769230769231,0.990743379458113,0.99375,0.9906542056074766,0.9921996879875196,2,3,13,descriptive filename-group resampling interval; filename groups are not verified independent clusters
global_pooling,321,31,0.09657320872274143,0.07122507122507123,0.12786885245901639,0.23076923076923078,0.10298607555058181,0.23690036900369005,1.0,0.38305489260143194,1034,0,13,descriptive filename-group resampling interval; filename groups are not verified independent clusters
