seed,fold,cell,method,human_worker_rows,matched_rows,unmatched_rows,matched_overall_exact,decision_rate_all_human_rows,review_or_unmatched_rate,human_unsafe_denominator,unsafe_auto_safe_errors,unsafe_auto_safe_rate,unsafe_composite_errors,unsafe_composite_rate,human_safe_to_unsafe,human_unsafe_to_safe,human_review_to_safe,human_review_to_unsafe
0,0,r10_s0_f0,proposed_lexicographic,216,181,35,0.5966850828729282,0.6620370370370371,0.33796296296296297,130,40,0.3076923076923077,48,0.36923076923076925,1,40,9,2
0,0,r10_s0_f0,max_iou,216,181,35,0.5911602209944752,0.6574074074074074,0.3425925925925926,130,40,0.3076923076923077,48,0.36923076923076925,1,40,9,2
0,0,r10_s0_f0,center_inside,216,181,35,0.6022099447513812,0.6666666666666666,0.3333333333333333,130,40,0.3076923076923077,48,0.36923076923076925,1,40,9,2
0,0,r10_s0_f0,hungarian_iou,216,181,35,0.5966850828729282,0.6620370370370371,0.33796296296296297,130,40,0.3076923076923077,48,0.36923076923076925,1,40,9,2
0,0,r10_s0_f0,global_pooling,216,181,35,0.15469613259668508,0.0,1.0,130,0,0.0,8,0.06153846153846154,0,0,0,0
0,1,r10_s0_f1,proposed_lexicographic,196,158,38,0.5506329113924051,0.576530612244898,0.42346938775510207,85,34,0.4,45,0.5294117647058824,1,34,10,0
0,1,r10_s0_f1,max_iou,196,158,38,0.5443037974683544,0.5663265306122449,0.4336734693877551,85,33,0.38823529411764707,44,0.5176470588235295,1,33,10,0
0,1,r10_s0_f1,center_inside,196,158,38,0.5506329113924051,0.5714285714285714,0.42857142857142855,85,33,0.38823529411764707,44,0.5176470588235295,1,33,10,0
0,1,r10_s0_f1,hungarian_iou,196,158,38,0.5443037974683544,0.576530612244898,0.42346938775510207,85,35,0.4117647058823529,46,0.5411764705882353,1,35,10,0
0,1,r10_s0_f1,global_pooling,196,158,38,0.18354430379746836,0.0,1.0,85,0,0.0,11,0.12941176470588237,0,0,0,0
0,2,r10_s0_f2,proposed_lexicographic,274,221,53,0.579185520361991,0.5802919708029197,0.4197080291970803,127,47,0.3700787401574803,64,0.5039370078740157,4,47,7,9
0,2,r10_s0_f2,max_iou,274,221,53,0.5701357466063348,0.572992700729927,0.42700729927007297,127,47,0.3700787401574803,64,0.5039370078740157,4,47,7,9
0,2,r10_s0_f2,center_inside,274,221,53,0.579185520361991,0.572992700729927,0.42700729927007297,127,45,0.3543307086614173,62,0.4881889763779528,4,45,7,9
0,2,r10_s0_f2,hungarian_iou,274,221,53,0.583710407239819,0.583941605839416,0.41605839416058393,127,47,0.3700787401574803,64,0.5039370078740157,4,47,7,9
0,2,r10_s0_f2,global_pooling,274,221,53,0.4117647058823529,0.7627737226277372,0.23722627737226276,127,69,0.5433070866141733,86,0.6771653543307087,13,69,29,15
1,0,r10_s1_f0,proposed_lexicographic,216,185,31,0.5945945945945946,0.6805555555555556,0.3194444444444444,130,35,0.2692307692307692,44,0.3384615384615385,5,35,10,4
1,0,r10_s1_f0,max_iou,216,185,31,0.5675675675675675,0.6574074074074074,0.3425925925925926,130,35,0.2692307692307692,44,0.3384615384615385,5,35,10,4
1,0,r10_s1_f0,center_inside,216,185,31,0.5837837837837838,0.6851851851851852,0.3148148148148148,130,36,0.27692307692307694,45,0.34615384615384615,5,36,10,5
1,0,r10_s1_f0,hungarian_iou,216,185,31,0.6054054054054054,0.6898148148148148,0.3101851851851852,130,35,0.2692307692307692,44,0.3384615384615385,5,35,10,4
1,0,r10_s1_f0,global_pooling,216,185,31,0.16756756756756758,0.0,1.0,130,0,0.0,9,0.06923076923076923,0,0,0,0
1,1,r10_s1_f1,proposed_lexicographic,196,162,34,0.5679012345679012,0.5510204081632653,0.4489795918367347,85,28,0.32941176470588235,39,0.4588235294117647,1,28,9,0
1,1,r10_s1_f1,max_iou,196,162,34,0.5679012345679012,0.5510204081632653,0.4489795918367347,85,28,0.32941176470588235,39,0.4588235294117647,1,28,9,0
1,1,r10_s1_f1,center_inside,196,162,34,0.5925925925925926,0.5510204081632653,0.4489795918367347,85,28,0.32941176470588235,39,0.4588235294117647,1,28,7,0
1,1,r10_s1_f1,hungarian_iou,196,162,34,0.5740740740740741,0.5561224489795918,0.44387755102040816,85,28,0.32941176470588235,39,0.4588235294117647,1,28,9,0
