seed,fold,cell,method,source_group,rows,matched,unmatched,matched_exact,unsafe_n,unsafe_auto_safe_errors,unsafe_composite_errors,fallback_cells
1,0,r10_s1_f0,proposed_lexicographic,5_tunnel,41,25,16,0.6,16,4,9,0
1,0,r10_s1_f0,proposed_lexicographic,6_tunnel,71,68,3,0.5147058823529411,46,16,18,0
1,0,r10_s1_f0,proposed_lexicographic,8_tunnel,40,40,0,0.95,39,0,0,0
1,0,r10_s1_f0,max_iou,11_tunnel,64,52,12,0.4230769230769231,29,15,17,0
1,0,r10_s1_f0,max_iou,5_tunnel,41,25,16,0.6,16,4,9,0
1,0,r10_s1_f0,max_iou,6_tunnel,71,68,3,0.47058823529411764,46,16,18,0
1,0,r10_s1_f0,max_iou,8_tunnel,40,40,0,0.9,39,0,0,0
1,0,r10_s1_f0,center_inside,11_tunnel,64,52,12,0.38461538461538464,29,16,18,0
1,0,r10_s1_f0,center_inside,5_tunnel,41,25,16,0.6,16,4,9,0
1,0,r10_s1_f0,center_inside,6_tunnel,71,68,3,0.5147058823529411,46,16,18,0
1,0,r10_s1_f0,center_inside,8_tunnel,40,40,0,0.95,39,0,0,0
1,0,r10_s1_f0,hungarian_iou,11_tunnel,64,52,12,0.4230769230769231,29,15,17,0
1,0,r10_s1_f0,hungarian_iou,5_tunnel,41,25,16,0.68,16,4,9,0
1,0,r10_s1_f0,hungarian_iou,6_tunnel,71,68,3,0.5147058823529411,46,16,18,0
1,0,r10_s1_f0,hungarian_iou,8_tunnel,40,40,0,0.95,39,0,0,0
1,0,r10_s1_f0,global_pooling,11_tunnel,64,52,12,0.15384615384615385,29,0,2,64
1,0,r10_s1_f0,global_pooling,5_tunnel,41,25,16,0.4,16,0,5,41
1,0,r10_s1_f0,global_pooling,6_tunnel,71,68,3,0.17647058823529413,46,0,2,71
1,0,r10_s1_f0,global_pooling,8_tunnel,40,40,0,0.025,39,0,0,40
1,1,r10_s1_f1,proposed_lexicographic,1_tunnel,58,50,8,0.36,26,14,17,0
1,1,r10_s1_f1,proposed_lexicographic,2_tunnel,65,47,18,0.5319148936170213,14,7,11,0
1,1,r10_s1_f1,proposed_lexicographic,9_tunnel,73,65,8,0.7538461538461538,45,7,11,0
1,1,r10_s1_f1,max_iou,1_tunnel,58,50,8,0.36,26,14,17,0
1,1,r10_s1_f1,max_iou,2_tunnel,65,47,18,0.5319148936170213,14,7,11,0
1,1,r10_s1_f1,max_iou,9_tunnel,73,65,8,0.7538461538461538,45,7,11,0
1,1,r10_s1_f1,center_inside,1_tunnel,58,50,8,0.4,26,14,17,0
1,1,r10_s1_f1,center_inside,2_tunnel,65,47,18,0.574468085106383,14,7,11,0
1,1,r10_s1_f1,center_inside,9_tunnel,73,65,8,0.7538461538461538,45,7,11,0
1,1,r10_s1_f1,hungarian_iou,1_tunnel,58,50,8,0.36,26,14,17,0
1,1,r10_s1_f1,hungarian_iou,2_tunnel,65,47,18,0.5531914893617021,14,7,11,0
1,1,r10_s1_f1,hungarian_iou,9_tunnel,73,65,8,0.7538461538461538,45,7,11,0
1,1,r10_s1_f1,global_pooling,1_tunnel,58,50,8,0.4,26,21,24,0
1,1,r10_s1_f1,global_pooling,2_tunnel,65,47,18,0.5957446808510638,14,10,14,0
1,1,r10_s1_f1,global_pooling,9_tunnel,73,65,8,0.5384615384615384,45,16,20,0
1,2,r10_s1_f2,proposed_lexicographic,10_tunnel,73,68,5,0.4852941176470588,27,17,20,0
1,2,r10_s1_f2,proposed_lexicographic,3_tunnel,66,51,15,0.47058823529411764,34,14,17,0
1,2,r10_s1_f2,proposed_lexicographic,4_tunnel,69,51,18,0.5490196078431373,27,15,22,0
1,2,r10_s1_f2,proposed_lexicographic,7_tunnel,66,56,10,0.6428571428571429,39,6,9,0
1,2,r10_s1_f2,max_iou,10_tunnel,73,68,5,0.4852941176470588,27,16,19,0
1,2,r10_s1_f2,max_iou,3_tunnel,66,51,15,0.47058823529411764,34,14,17,0
1,2,r10_s1_f2,max_iou,4_tunnel,69,51,18,0.5490196078431373,27,15,22,0
1,2,r10_s1_f2,max_iou,7_tunnel,66,56,10,0.6428571428571429,39,6,9,0
1,2,r10_s1_f2,center_inside,10_tunnel,73,68,5,0.4852941176470588,27,17,20,0
1,2,r10_s1_f2,center_inside,3_tunnel,66,51,15,0.49019607843137253,34,14,17,0
1,2,r10_s1_f2,center_inside,4_tunnel,69,51,18,0.5490196078431373,27,15,22,0
1,2,r10_s1_f2,center_inside,7_tunnel,66,56,10,0.625,39,6,9,0
1,2,r10_s1_f2,hungarian_iou,10_tunnel,73,68,5,0.4852941176470588,27,16,19,0
1,2,r10_s1_f2,hungarian_iou,3_tunnel,66,51,15,0.47058823529411764,34,14,17,0
1,2,r10_s1_f2,hungarian_iou,4_tunnel,69,51,18,0.5490196078431373,27,15,22,0
1,2,r10_s1_f2,hungarian_iou,7_tunnel,66,56,10,0.6428571428571429,39,6,9,0
1,2,r10_s1_f2,global_pooling,10_tunnel,73,68,5,0.5,27,20,23,0
1,2,r10_s1_f2,global_pooling,3_tunnel,66,51,15,0.43137254901960786,34,16,19,0
1,2,r10_s1_f2,global_pooling,4_tunnel,69,51,18,0.19607843137254902,27,20,27,0
1,2,r10_s1_f2,global_pooling,7_tunnel,66,56,10,0.625,39,5,8,0
2,0,r10_s2_f0,proposed_lexicographic,11_tunnel,64,53,11,0.5283018867924528,29,9,12,0
2,0,r10_s2_f0,proposed_lexicographic,5_tunnel,41,25,16,0.6,16,4,7,0
2,0,r10_s2_f0,proposed_lexicographic,6_tunnel,71,64,7,0.453125,46,16,20,0
2,0,r10_s2_f0,proposed_lexicographic,8_tunnel,40,39,1,0.8974358974358975,39,0,1,0
2,0,r10_s2_f0,max_iou,11_tunnel,64,53,11,0.5283018867924528,29,9,12,0
2,0,r10_s2_f0,max_iou,5_tunnel,41,25,16,0.6,16,4,7,0
2,0,r10_s2_f0,max_iou,6_tunnel,71,64,7,0.4375,46,16,20,0
2,0,r10_s2_f0,max_iou,8_tunnel,40,39,1,0.8717948717948718,39,0,1,0
2,0,r10_s2_f0,center_inside,11_tunnel,64,53,11,0.5283018867924528,29,9,12,0
2,0,r10_s2_f0,center_inside,5_tunnel,41,25,16,0.6,16,4,7,0
2,0,r10_s2_f0,center_inside,6_tunnel,71,64,7,0.453125,46,15,19,0
2,0,r10_s2_f0,center_inside,8_tunnel,40,39,1,0.8717948717948718,39,0,1,0
2,0,r10_s2_f0,hungarian_iou,11_tunnel,64,53,11,0.5283018867924528,29,8,11,0
2,0,r10_s2_f0,hungarian_iou,5_tunnel,41,25,16,0.6,16,4,7,0
2,0,r10_s2_f0,hungarian_iou,6_tunnel,71,64,7,0.46875,46,16,20,0
2,0,r10_s2_f0,hungarian_iou,8_tunnel,40,39,1,0.8717948717948718,39,0,1,0
2,0,r10_s2_f0,global_pooling,11_tunnel,64,53,11,0.16981132075471697,29,0,3,64
2,0,r10_s2_f0,global_pooling,5_tunnel,41,25,16,0.32,16,0,3,41
2,0,r10_s2_f0,global_pooling,6_tunnel,71,64,7,0.15625,46,0,4,71
2,0,r10_s2_f0,global_pooling,8_tunnel,40,39,1,0.02564102564102564,39,0,1,40
2,1,r10_s2_f1,proposed_lexicographic,1_tunnel,58,47,11,0.3829787234042553,26,16,21,0
2,1,r10_s2_f1,proposed_lexicographic,2_tunnel,65,42,23,0.5714285714285714,14,6,9,0
2,1,r10_s2_f1,proposed_lexicographic,9_tunnel,73,65,8,0.7846153846153846,45,2,7,0
2,1,r10_s2_f1,max_iou,1_tunnel,58,47,11,0.3829787234042553,26,16,21,0
2,1,r10_s2_f1,max_iou,2_tunnel,65,42,23,0.5714285714285714,14,6,9,0
2,1,r10_s2_f1,max_iou,9_tunnel,73,65,8,0.7692307692307693,45,2,7,0
2,1,r10_s2_f1,center_inside,1_tunnel,58,47,11,0.3829787234042553,26,17,22,0
2,1,r10_s2_f1,center_inside,2_tunnel,65,42,23,0.5714285714285714,14,6,9,0
2,1,r10_s2_f1,center_inside,9_tunnel,73,65,8,0.7692307692307693,45,2,7,0
2,1,r10_s2_f1,hungarian_iou,1_tunnel,58,47,11,0.3829787234042553,26,17,22,0
2,1,r10_s2_f1,hungarian_iou,2_tunnel,65,42,23,0.5714285714285714,14,6,9,0
2,1,r10_s2_f1,hungarian_iou,9_tunnel,73,65,8,0.7692307692307693,45,2,7,0
2,1,r10_s2_f1,global_pooling,1_tunnel,58,47,11,0.1702127659574468,26,0,5,58
2,1,r10_s2_f1,global_pooling,2_tunnel,65,42,23,0.21428571428571427,14,0,3,65
2,1,r10_s2_f1,global_pooling,9_tunnel,73,65,8,0.16923076923076924,45,0,5,73
2,2,r10_s2_f2,proposed_lexicographic,10_tunnel,73,67,6,0.4925373134328358,27,18,22,0
2,2,r10_s2_f2,proposed_lexicographic,3_tunnel,66,49,17,0.3469387755102041,34,19,22,0
2,2,r10_s2_f2,proposed_lexicographic,4_tunnel,69,52,17,0.5,27,12,17,0
2,2,r10_s2_f2,proposed_lexicographic,7_tunnel,66,56,10,0.6428571428571429,39,11,15,0
2,2,r10_s2_f2,max_iou,10_tunnel,73,67,6,0.47761194029850745,27,17,21,0
2,2,r10_s2_f2,max_iou,3_tunnel,66,49,17,0.3469387755102041,34,19,22,0
2,2,r10_s2_f2,max_iou,4_tunnel,69,52,17,0.4807692307692308,27,12,17,0
2,2,r10_s2_f2,max_iou,7_tunnel,66,56,10,0.625,39,11,15,0
2,2,r10_s2_f2,center_inside,10_tunnel,73,67,6,0.4925373134328358,27,17,21,0
2,2,r10_s2_f2,center_inside,3_tunnel,66,49,17,0.3469387755102041,34,18,21,0
2,2,r10_s2_f2,center_inside,4_tunnel,69,52,17,0.5,27,12,17,0
