method,cells,cell_mean_matched_exact,cell_mean_decision_rate,repeated_seed_pooled_matched_exact,repeated_seed_pooled_unsafe_n,repeated_seed_pooled_auto_safe_errors,repeated_seed_pooled_auto_safe_rate,repeated_seed_pooled_composite_errors,repeated_seed_pooled_composite_rate,filename_group_seed_macro_composite,filename_group_seed_units,interpretation
proposed_lexicographic,15,0.5699045597588804,0.6032387867285329,0.5676251331203408,1710,576,0.3368421052631579,755,0.4415204678362573,0.4890014760955761,55,Repeated-seed summaries reuse the same sampled human rows; they are not independent worker samples.
max_iou,15,0.5631386013556076,0.5958879307332557,0.5608803691870784,1710,572,0.3345029239766082,751,0.4391812865497076,0.4850572721513721,55,Repeated-seed summaries reuse the same sampled human rows; they are not independent worker samples.
center_inside,15,0.570819586727993,0.6035135898100792,0.5683351082712105,1710,571,0.3339181286549708,750,0.43859649122807015,0.4855385193863014,55,Repeated-seed summaries reuse the same sampled human rows; they are not independent worker samples.
hungarian_iou,15,0.5698141512472202,0.6047481577113137,0.5676251331203408,1710,580,0.3391812865497076,759,0.443859649122807,0.49043129307350136,55,Repeated-seed summaries reuse the same sampled human rows; they are not independent worker samples.
global_pooling,15,0.2920682339730007,0.3508639952331298,0.30067447639332623,1710,428,0.25029239766081873,607,0.3549707602339181,0.3958734981150979,55,Repeated-seed summaries reuse the same sampled human rows; they are not independent worker samples.
